GO ID,n_genes,n_neurons_peak,pct_neurons_peak,auc_all,auc_noneurons,auc
GO:0051131,18,7,0.3888888888888889,0.41169283582341953,0.509201481368744,0.41169283582341953
GO:0051179,27,6,0.2222222222222222,0.5638319175099555,0.5706191265892759,0.5638319175099555
GO:0051209,43,16,0.37209302325581395,0.5191777763255345,0.48967863677950596,0.5191777763255345
GO:0051216,53,13,0.24528301886792453,0.5566624177520845,0.505141336253714,0.5566624177520845
GO:0051225,41,9,0.21951219512195122,0.525186570810904,0.4915295483598575,0.525186570810904
GO:0051247,19,1,0.05263157894736842,0.3990698461018095,0.4774162861491625,0.3990698461018095
GO:0051260,111,43,0.38738738738738737,0.526346242011478,0.4769358184057755,0.526346242011478
GO:0051262,21,5,0.23809523809523808,0.5179414131309394,0.483620758396219,0.5179414131309394
GO:0051276,19,7,0.3684210526315789,0.4923029764924745,0.433365043125317,0.4923029764924745
GO:0051281,29,11,0.3793103448275862,0.5720543849256721,0.43564638515133547,0.5720543849256721
GO:0051289,49,9,0.1836734693877551,0.463120550470379,0.5085280002542585,0.463120550470379
GO:0051301,329,60,0.182370820668693,0.5004783799437955,0.5632783208315755,0.5004783799437955
GO:0051302,19,4,0.21052631578947367,0.39718417047184196,0.457549044478268,0.39718417047184196
GO:0051321,62,20,0.3225806451612903,0.5192779516937724,0.5295506604565929,0.5192779516937724
GO:0051384,51,19,0.37254901960784315,0.45264903336983253,0.4529571822625905,0.45264903336983253
GO:0051402,65,19,0.2923076923076923,0.438010502811175,0.4635256424243745,0.438010502811175
GO:0051443,17,5,0.29411764705882354,0.4704611170293715,0.5044539136610355,0.4704611170293715
GO:0051453,26,6,0.23076923076923078,0.491657465925531,0.5576442295489734,0.491657465925531
GO:0051480,37,21,0.5675675675675675,0.5884085674609225,0.546843511321106,0.5884085674609225
GO:0051482,27,11,0.4074074074074074,0.5175031870127815,0.454788134159136,0.5175031870127815
GO:0051491,30,5,0.16666666666666666,0.4184235915403555,0.4798842257597685,0.4184235915403555
GO:0051493,21,6,0.2857142857142857,0.536736402583563,0.4586459488651605,0.536736402583563
GO:0051496,48,13,0.2708333333333333,0.49550313985711747,0.550446666920906,0.49550313985711747
GO:0051497,26,3,0.11538461538461539,0.4815239599989845,0.5089818269499224,0.4815239599989845
GO:0051568,28,5,0.17857142857142858,0.5115460445595246,0.5499651658360054,0.5115460445595246
GO:0051571,19,5,0.2631578947368421,0.4802257737189245,0.522767630644343,0.4802257737189245
GO:0051591,33,7,0.21212121212121213,0.4449415686654755,0.5175063140932405,0.4449415686654755
GO:0051592,49,21,0.42857142857142855,0.5484172387490465,0.454527396389525,0.5484172387490465
GO:0051602,24,8,0.3333333333333333,0.44501173708920205,0.48768240071057,0.44501173708920205
GO:0051603,28,1,0.03571428571428571,0.410013623401789,0.5804330718655595,0.410013623401789
GO:0051607,186,30,0.16129032258064516,0.542583272619974,0.5193961569479705,0.542583272619974
GO:0051649,94,32,0.3404255319148936,0.528450798118588,0.4903723730396815,0.528450798118588
GO:0051726,203,37,0.18226600985221675,0.467918204592966,0.529204663622302,0.467918204592966
GO:0051781,43,14,0.32558139534883723,0.5415541178349961,0.448764867337603,0.5415541178349961
GO:0051865,69,12,0.17391304347826086,0.499799603635921,0.5845030502319505,0.499799603635921
GO:0051881,26,3,0.11538461538461539,0.475250006345339,0.5507579507094089,0.475250006345339
GO:0051893,22,3,0.13636363636363635,0.4113246120553725,0.5371922994667915,0.4113246120553725
